epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,187.912,0.42437,0.31777,0.90855,0.98795,0.97382,0.97742,0.89043,0.41339,0.28697,0.9,0.00742,0.00742,0.00742
45,192.281,0.41108,0.29818,0.89678,0.98368,0.96181,0.9758,0.89193,0.41771,0.29692,0.90598,0.00736,0.00736,0.00736
46,196.596,0.40719,0.30694,0.89272,0.9851,0.96099,0.97579,0.88997,0.42132,0.30132,0.89195,0.0073,0.0073,0.0073
47,200.793,0.41362,0.3161,0.90181,0.98218,0.95181,0.97283,0.90285,0.40093,0.30966,0.89215,0.00724,0.00724,0.00724
48,205.064,0.3944,0.29759,0.89067,0.98693,0.95778,0.97851,0.90081,0.40542,0.30942,0.88936,0.00718,0.00718,0.00718
49,209.47,0.40552,0.30913,0.8991,0.98061,0.94842,0.97181,0.88922,0.42125,0.32371,0.90189,0.00712,0.00712,0.00712
50,213.678,0.38076,0.2802,0.88128,0.98695,0.94923,0.97482,0.89909,0.40245,0.30431,0.88687,0.00706,0.00706,0.00706
51,218.009,0.39087,0.29144,0.88913,0.96813,0.97024,0.97624,0.9007,0.38851,0.28157,0.8851,0.007,0.007,0.007
52,222.196,0.3971,0.29736,0.89021,0.98031,0.97132,0.97775,0.89579,0.40863,0.29691,0.89042,0.00694,0.00694,0.00694
53,226.568,0.3971,0.30552,0.89309,0.98523,0.94718,0.97486,0.90083,0.40646,0.30219,0.8981,0.00688,0.00688,0.00688
54,230.798,0.39608,0.29841,0.89895,0.99191,0.95245,0.97487,0.91035,0.39233,0.29859,0.89087,0.00682,0.00682,0.00682
55,235.001,0.37845,0.28459,0.88803,0.9838,0.9599,0.97259,0.90113,0.39476,0.2981,0.88892,0.00676,0.00676,0.00676
56,239.344,0.37383,0.29219,0.88358,0.97987,0.9576,0.96885,0.89477,0.39018,0.30296,0.891,0.0067,0.0067,0.0067
57,243.534,0.38762,0.28511,0.89417,0.98487,0.95906,0.97867,0.90293,0.37883,0.28088,0.88104,0.00664,0.00664,0.00664
58,247.736,0.37668,0.27764,0.88426,0.97843,0.97196,0.97782,0.9014,0.38536,0.26122,0.88374,0.00658,0.00658,0.00658
59,252.003,0.37708,0.28256,0.88437,0.98633,0.96649,0.977,0.89661,0.39489,0.27872,0.88326,0.00652,0.00652,0.00652
60,256.228,0.36901,0.2858,0.88127,0.97993,0.96753,0.97771,0.89443,0.39858,0.26927,0.88608,0.00646,0.00646,0.00646
61,260.495,0.3641,0.26679,0.88016,0.98428,0.96056,0.97881,0.89943,0.38739,0.26268,0.88919,0.0064,0.0064,0.0064
62,264.83,0.37028,0.27394,0.88197,0.98449,0.96943,0.97948,0.90434,0.39456,0.26207,0.89385,0.00634,0.00634,0.00634
63,269.069,0.35461,0.27433,0.87735,0.97216,0.97051,0.97336,0.89917,0.39745,0.28253,0.88965,0.00628,0.00628,0.00628
64,273.374,0.37167,0.2799,0.89208,0.98114,0.97353,0.9747,0.89519,0.39245,0.27388,0.89311,0.00622,0.00622,0.00622
65,277.586,0.37146,0.28036,0.89056,0.98321,0.96175,0.97646,0.89074,0.39114,0.27324,0.88469,0.00616,0.00616,0.00616
66,281.87,0.35511,0.26797,0.88114,0.97205,0.97173,0.97168,0.88742,0.41404,0.27613,0.89976,0.0061,0.0061,0.0061
67,286.093,0.36049,0.26737,0.87911,0.97623,0.96598,0.96907,0.88696,0.37757,0.26724,0.88228,0.00604,0.00604,0.00604
68,290.281,0.35228,0.27162,0.88118,0.98855,0.96551,0.97897,0.8955,0.40241,0.28438,0.89046,0.00598,0.00598,0.00598
69,294.582,0.36695,0.2732,0.88542,0.98268,0.96338,0.97444,0.90786,0.36478,0.28785,0.87844,0.00592,0.00592,0.00592
70,299.066,0.35382,0.266,0.88329,0.98129,0.95718,0.97257,0.89794,0.38119,0.28111,0.88676,0.00586,0.00586,0.00586
71,303.467,0.35356,0.2664,0.87899,0.98762,0.9652,0.97821,0.90082,0.37167,0.2676,0.88396,0.0058,0.0058,0.0058
72,308.089,0.3539,0.26908,0.88167,0.95141,0.9553,0.96696,0.89364,0.36466,0.29064,0.88231,0.00574,0.00574,0.00574
73,312.474,0.34715,0.26182,0.87459,0.98094,0.96201,0.96788,0.89743,0.37696,0.28577,0.88647,0.00568,0.00568,0.00568
74,316.802,0.33581,0.26002,0.86905,0.9805,0.96424,0.97655,0.89811,0.38446,0.28119,0.89237,0.00562,0.00562,0.00562
75,321.034,0.32076,0.24075,0.86084,0.97692,0.96198,0.96867,0.90058,0.36894,0.26701,0.88953,0.00556,0.00556,0.00556
76,325.283,0.33054,0.25075,0.86961,0.97525,0.9611,0.96803,0.90528,0.38949,0.26674,0.89574,0.0055,0.0055,0.0055
77,329.54,0.33635,0.25235,0.87163,0.98514,0.96365,0.97344,0.90213,0.34956,0.24801,0.87511,0.00544,0.00544,0.00544
78,333.723,0.32976,0.24805,0.86947,0.98246,0.96601,0.97279,0.90325,0.34881,0.25432,0.86996,0.00538,0.00538,0.00538
79,337.998,0.32958,0.2526,0.86457,0.98619,0.96501,0.97484,0.90671,0.35649,0.25255,0.87008,0.00532,0.00532,0.00532
