epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.07194,0.85065,3.01167,1.08255,0.00215,0.16667,0.0794,0.04457,1.60345,3.21404,1.44333,0.0802,0.0002,0.0002
2,11.3041,0.6555,1.51577,0.95014,0.04307,0.35703,0.16627,0.12211,0.95624,3.25272,1.11583,0.0594059,0.000405941,0.000405941
3,16.6052,0.58871,0.95202,0.9123,0.17323,0.72951,0.6561,0.55021,0.7558,2.80513,0.96452,0.0386077,0.000607724,0.000607724
4,21.4767,0.56961,0.73874,0.91438,0.73081,0.47403,0.70314,0.60704,0.63378,2.10875,0.91343,0.0178053,0.000805349,0.000805349
5,26.3899,0.58282,0.65195,0.91199,0.92691,0.7484,0.95102,0.81365,0.57134,1.01454,0.89403,0.0009604,0.0009604,0.0009604
6,31.8077,0.53955,0.59093,0.89287,0.97323,0.77663,0.95632,0.81572,0.55079,0.78911,0.89196,0.0009505,0.0009505,0.0009505
7,36.8833,0.50082,0.54053,0.88659,0.91935,0.89025,0.95047,0.80353,0.56195,0.65875,0.9007,0.0009406,0.0009406,0.0009406
8,41.9674,0.46828,0.50581,0.87441,0.96431,0.94841,0.97058,0.84958,0.50234,0.43854,0.87018,0.0009307,0.0009307,0.0009307
9,46.8791,0.44779,0.48363,0.86713,0.96114,0.96813,0.97107,0.84813,0.49603,0.41626,0.86435,0.0009208,0.0009208,0.0009208
10,51.3688,0.43243,0.4677,0.86637,0.97982,0.94452,0.97308,0.85547,0.48676,0.42857,0.86706,0.0009109,0.0009109,0.0009109
11,56.4371,0.44033,0.44746,0.86818,0.98033,0.96609,0.97375,0.83978,0.54599,0.41572,0.88107,0.000901,0.000901,0.000901
12,61.3032,0.44109,0.44101,0.86367,0.97788,0.95877,0.97415,0.8601,0.49857,0.38482,0.87104,0.0008911,0.0008911,0.0008911
13,66.5034,0.43529,0.42885,0.86487,0.98011,0.95985,0.97134,0.86499,0.45343,0.34877,0.84267,0.0008812,0.0008812,0.0008812
14,71.4819,0.39588,0.39404,0.85667,0.96145,0.97087,0.97126,0.85994,0.47802,0.39148,0.83971,0.0008713,0.0008713,0.0008713
