epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,35.6227,0.2863,0.36993,0.82076,0.97215,0.94792,0.95013,0.85552,0.31429,0.37508,0.80473,0.000371313,0.000371313,0.000371313
43,36.5179,0.28184,0.36708,0.8247,0.97671,0.94792,0.95097,0.87049,0.31126,0.37993,0.80693,0.000365125,0.000365125,0.000365125
44,37.3363,0.28753,0.36628,0.82181,0.97772,0.94594,0.95254,0.87041,0.30356,0.36538,0.80525,0.000358938,0.000358938,0.000358938
45,38.141,0.28543,0.36251,0.82458,0.97595,0.94578,0.94242,0.86186,0.33508,0.36347,0.80925,0.00035275,0.00035275,0.00035275
46,38.9534,0.27989,0.36433,0.825,0.97574,0.94176,0.94035,0.86471,0.31824,0.36473,0.80307,0.000346563,0.000346563,0.000346563
47,39.7504,0.27609,0.35489,0.82367,0.97126,0.94501,0.93918,0.86282,0.31136,0.3676,0.8077,0.000340375,0.000340375,0.000340375
48,40.5413,0.28707,0.35938,0.82243,0.97372,0.94792,0.93802,0.87,0.29516,0.35446,0.80633,0.000334188,0.000334188,0.000334188
49,41.3385,0.27641,0.34507,0.82096,0.96956,0.94792,0.93864,0.86837,0.29973,0.35208,0.80593,0.000328,0.000328,0.000328
50,42.1358,0.26879,0.34982,0.82103,0.97319,0.94022,0.93888,0.87096,0.29924,0.35876,0.81035,0.000321812,0.000321812,0.000321812
51,42.9863,0.26965,0.34369,0.82079,0.9719,0.93788,0.95546,0.87265,0.31438,0.35649,0.80943,0.000315625,0.000315625,0.000315625
52,43.8257,0.26743,0.33707,0.81629,0.97782,0.93819,0.94029,0.86636,0.31131,0.35273,0.8119,0.000309437,0.000309437,0.000309437
53,44.6249,0.26237,0.34206,0.82231,0.97317,0.94792,0.95188,0.86274,0.31132,0.33435,0.81033,0.00030325,0.00030325,0.00030325
54,45.4303,0.25394,0.32706,0.81621,0.97633,0.94792,0.93967,0.85683,0.31445,0.3388,0.81045,0.000297063,0.000297063,0.000297063
55,46.2614,0.26874,0.32702,0.82168,0.97495,0.94792,0.93663,0.85379,0.3065,0.34457,0.81288,0.000290875,0.000290875,0.000290875
56,47.0859,0.26325,0.33285,0.82462,0.97195,0.94792,0.93821,0.8601,0.32234,0.33044,0.8116,0.000284688,0.000284688,0.000284688
57,47.9617,0.27185,0.33708,0.82066,0.97565,0.94792,0.93809,0.85787,0.28766,0.34343,0.80517,0.0002785,0.0002785,0.0002785
58,48.8157,0.25335,0.32303,0.81721,0.9786,0.94768,0.93811,0.85941,0.30487,0.35217,0.80515,0.000272313,0.000272313,0.000272313
59,49.6763,0.25676,0.33717,0.81959,0.97738,0.94591,0.9361,0.86346,0.28688,0.34413,0.80371,0.000266125,0.000266125,0.000266125
60,50.49,0.24796,0.32862,0.81792,0.97243,0.94792,0.93611,0.86735,0.27687,0.34102,0.8043,0.000259938,0.000259938,0.000259938
61,51.3047,0.24469,0.31842,0.81128,0.9761,0.94792,0.93626,0.86711,0.28222,0.34169,0.80501,0.00025375,0.00025375,0.00025375
62,52.1186,0.24839,0.3204,0.81656,0.96952,0.94792,0.93668,0.86841,0.29218,0.32655,0.80312,0.000247563,0.000247563,0.000247563
63,52.9557,0.24776,0.31803,0.8238,0.97509,0.94792,0.93735,0.86467,0.28772,0.32515,0.80206,0.000241375,0.000241375,0.000241375
64,53.7862,0.25607,0.31945,0.82166,0.97403,0.94792,0.93781,0.86501,0.27953,0.3164,0.79964,0.000235188,0.000235188,0.000235188
65,54.6596,0.23879,0.31393,0.81859,0.97566,0.94688,0.93567,0.86292,0.29457,0.31787,0.80177,0.000229,0.000229,0.000229
66,55.4677,0.24556,0.31338,0.81957,0.97706,0.94628,0.9479,0.86481,0.29707,0.32007,0.80424,0.000222813,0.000222813,0.000222813
67,56.2712,0.24834,0.30624,0.81556,0.97672,0.94789,0.93562,0.86165,0.29164,0.32261,0.80279,0.000216625,0.000216625,0.000216625
68,57.0777,0.25365,0.31366,0.81415,0.97834,0.93965,0.9356,0.86083,0.28973,0.33255,0.8033,0.000210437,0.000210437,0.000210437
69,57.8813,0.2457,0.31727,0.82296,0.97921,0.93804,0.93609,0.86791,0.28239,0.32268,0.80162,0.00020425,0.00020425,0.00020425
70,58.6792,0.24159,0.31437,0.81423,0.9797,0.94612,0.93602,0.8652,0.28817,0.31265,0.80277,0.000198063,0.000198063,0.000198063
71,59.4783,0.24477,0.29711,0.81495,0.97838,0.94609,0.9403,0.87268,0.27019,0.30866,0.80049,0.000191875,0.000191875,0.000191875
72,60.2924,0.23404,0.30008,0.80426,0.97781,0.94569,0.93966,0.87038,0.26936,0.31095,0.8013,0.000185688,0.000185688,0.000185688
73,61.0966,0.24914,0.30767,0.82124,0.97031,0.94792,0.93835,0.86512,0.27622,0.31343,0.80087,0.0001795,0.0001795,0.0001795
74,61.9026,0.24081,0.30065,0.82066,0.96317,0.94192,0.9393,0.86476,0.27494,0.31962,0.80199,0.000173313,0.000173313,0.000173313
