epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44528,0.74088,0.51869,1.04362,0.99019,0.97793,0.97666,0.91296,0.34797,0.2318,0.87364,0.0806829,0.000195122,0.000195122
2,6.68766,0.59476,0.41192,0.98999,0.98449,0.97781,0.97606,0.90176,0.36187,0.2335,0.88443,0.0608806,0.000392751,0.000392751
3,9.87648,0.5071,0.33593,0.94482,0.98687,0.9782,0.97605,0.9053,0.3589,0.23558,0.8851,0.0410758,0.00058798,0.00058798
4,13.0401,0.47696,0.33368,0.93407,0.98583,0.97819,0.97496,0.9032,0.36389,0.23794,0.88749,0.0212686,0.00078081,0.00078081
5,16.2441,0.46588,0.33383,0.91021,0.98647,0.9781,0.97475,0.9011,0.37267,0.24047,0.89414,0.00145904,0.000971239,0.000971239
6,19.2899,0.44332,0.29715,0.90687,0.98569,0.97576,0.97459,0.90112,0.37686,0.24229,0.89554,0.00097,0.00097,0.00097
7,22.3096,0.43812,0.2932,0.89698,0.9854,0.97819,0.97496,0.90591,0.37982,0.24538,0.89642,0.000964,0.000964,0.000964
8,25.3801,0.40167,0.27658,0.8834,0.98773,0.97818,0.97505,0.90555,0.36366,0.24216,0.8838,0.000958,0.000958,0.000958
9,28.5889,0.40115,0.27182,0.88687,0.98869,0.97819,0.97578,0.90694,0.35657,0.24038,0.87965,0.000952,0.000952,0.000952
10,31.6724,0.37926,0.26292,0.87605,0.98945,0.97881,0.97598,0.90993,0.34781,0.23887,0.8776,0.000946,0.000946,0.000946
11,34.7162,0.39929,0.26741,0.88771,0.98925,0.97889,0.9763,0.91455,0.33757,0.2415,0.87402,0.00094,0.00094,0.00094
12,37.7588,0.38219,0.26365,0.87676,0.98863,0.97901,0.97629,0.91477,0.33782,0.2424,0.87187,0.000934,0.000934,0.000934
13,40.9339,0.37943,0.25996,0.88258,0.98891,0.97915,0.97631,0.91288,0.33885,0.24264,0.87202,0.000928,0.000928,0.000928
14,43.8941,0.361,0.24301,0.87115,0.98964,0.97949,0.97674,0.91537,0.33841,0.24098,0.87027,0.000922,0.000922,0.000922
15,47.0219,0.37129,0.24898,0.87642,0.98966,0.97986,0.97678,0.9119,0.33931,0.23904,0.87038,0.000916,0.000916,0.000916
16,50.1568,0.36931,0.25081,0.86994,0.99067,0.97985,0.97688,0.91367,0.3387,0.24322,0.86941,0.00091,0.00091,0.00091
17,53.1804,0.35927,0.24201,0.87814,0.98996,0.97843,0.97689,0.91232,0.33642,0.23899,0.86899,0.000904,0.000904,0.000904
18,56.1608,0.36474,0.25157,0.87388,0.98906,0.97892,0.97728,0.91267,0.33501,0.237,0.86957,0.000898,0.000898,0.000898
19,59.1591,0.34887,0.2358,0.8605,0.98821,0.97765,0.97758,0.91336,0.33393,0.23656,0.86879,0.000892,0.000892,0.000892
20,62.1895,0.34731,0.2392,0.86427,0.9891,0.97814,0.9779,0.91279,0.33178,0.24081,0.86767,0.000886,0.000886,0.000886
21,65.1674,0.35308,0.24134,0.86387,0.98832,0.97809,0.97949,0.91352,0.32602,0.23948,0.86561,0.00088,0.00088,0.00088
