epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.38157,0.88221,3.52578,1.0681,0.00074,0.03274,0.0005,0.00015,1.31707,3.33532,1.23019,0.08911,0.00011,0.00011
2,2.25208,0.66513,2.05273,0.92969,0.00702,0.22768,0.03922,0.02129,0.99334,3.15388,1.01583,0.0772277,0.000227723,0.000227723
3,3.14079,0.59976,1.42797,0.90434,0.00233,0.25,0.16849,0.16294,0.72104,3.17362,0.95274,0.0653431,0.00034307,0.00034307
4,3.96782,0.56482,1.04236,0.877,0.02873,0.3125,0.23381,0.1919,0.67763,3.17743,0.92316,0.053456,0.000456041,0.000456041
5,4.82909,0.54224,0.84853,0.88094,0.0325,0.35069,0.33466,0.30768,0.59362,3.16727,0.87464,0.0415666,0.000566636,0.000566636
6,5.67899,0.52414,0.7401,0.86484,0.20028,0.63958,0.59286,0.52488,0.52294,2.87006,0.84561,0.0296749,0.000674855,0.000674855
7,6.50239,0.51642,0.67587,0.87937,0.48357,0.64269,0.72123,0.65604,0.46521,2.52696,0.83017,0.0177807,0.000780698,0.000780698
8,7.32855,0.49816,0.64768,0.86605,0.33287,0.76736,0.775,0.69063,0.44659,2.2241,0.83354,0.00588417,0.000884165,0.000884165
9,8.16838,0.46596,0.57379,0.85134,0.93259,0.66476,0.94784,0.84932,0.46052,1.74322,0.83486,0.0009208,0.0009208,0.0009208
10,8.96492,0.47246,0.56406,0.84562,0.90867,0.81319,0.95454,0.85646,0.44207,1.21671,0.82765,0.0009109,0.0009109,0.0009109
11,9.7624,0.44143,0.52151,0.84155,0.87074,0.91136,0.95172,0.86541,0.41799,0.86995,0.81757,0.000901,0.000901,0.000901
12,10.5495,0.42084,0.49954,0.83965,0.86621,0.93719,0.95231,0.8769,0.40368,0.8117,0.81711,0.0008911,0.0008911,0.0008911
13,11.33,0.43846,0.50163,0.84872,0.92459,0.91834,0.95169,0.88422,0.41407,0.67748,0.81621,0.0008812,0.0008812,0.0008812
14,12.1292,0.42931,0.50323,0.84366,0.91873,0.92974,0.95109,0.87634,0.40091,0.53371,0.81626,0.0008713,0.0008713,0.0008713
15,12.9511,0.41912,0.47264,0.84367,0.93186,0.93944,0.95065,0.86749,0.4037,0.4952,0.81791,0.0008614,0.0008614,0.0008614
16,13.7623,0.39912,0.45597,0.84074,0.93124,0.93382,0.95033,0.87035,0.40352,0.48021,0.81382,0.0008515,0.0008515,0.0008515
17,14.5714,0.37455,0.42861,0.83538,0.95341,0.92228,0.95379,0.8834,0.39941,0.50398,0.81876,0.0008416,0.0008416,0.0008416
18,15.4176,0.38412,0.43127,0.82602,0.90248,0.94792,0.95194,0.87446,0.41932,0.50225,0.81484,0.0008317,0.0008317,0.0008317
19,16.2212,0.39899,0.43138,0.83457,0.94607,0.94663,0.95182,0.86609,0.39392,0.44884,0.81403,0.0008218,0.0008218,0.0008218
20,17.0376,0.3886,0.41326,0.83179,0.96481,0.94131,0.95121,0.87462,0.37585,0.46305,0.8165,0.0008119,0.0008119,0.0008119
21,17.8755,0.37496,0.41023,0.82692,0.96246,0.93578,0.95054,0.88287,0.35832,0.42251,0.81328,0.000802,0.000802,0.000802
22,18.6925,0.37237,0.3976,0.82819,0.93886,0.94792,0.95346,0.88126,0.36967,0.40813,0.80844,0.0007921,0.0007921,0.0007921
23,19.4981,0.37238,0.39682,0.82339,0.95345,0.94792,0.95276,0.85918,0.40769,0.43523,0.81889,0.0007822,0.0007822,0.0007822
24,20.2959,0.37872,0.3895,0.82708,0.96294,0.93187,0.95042,0.86314,0.38539,0.43922,0.81403,0.0007723,0.0007723,0.0007723
25,21.084,0.36034,0.37343,0.82652,0.96334,0.9192,0.94644,0.87073,0.34495,0.42433,0.80735,0.0007624,0.0007624,0.0007624
26,21.8934,0.35811,0.37448,0.81845,0.96743,0.94344,0.9435,0.86404,0.39089,0.39174,0.81131,0.0007525,0.0007525,0.0007525
27,22.7377,0.35712,0.37041,0.817,0.97573,0.94792,0.95104,0.88724,0.34847,0.36338,0.80523,0.0007426,0.0007426,0.0007426
28,23.5256,0.35078,0.37123,0.82587,0.97184,0.94746,0.95747,0.88702,0.33372,0.36766,0.80139,0.0007327,0.0007327,0.0007327
29,24.332,0.34932,0.36357,0.82332,0.96984,0.9421,0.95479,0.87955,0.34062,0.37164,0.80444,0.0007228,0.0007228,0.0007228
30,25.1076,0.34948,0.36223,0.81885,0.9698,0.94386,0.95247,0.87208,0.3549,0.37192,0.80703,0.0007129,0.0007129,0.0007129
31,25.9005,0.33322,0.346,0.81555,0.96694,0.93995,0.94907,0.87244,0.36801,0.3512,0.80814,0.000703,0.000703,0.000703
32,26.6747,0.33545,0.33631,0.81378,0.9707,0.94198,0.95206,0.87622,0.35903,0.37778,0.8075,0.0006931,0.0006931,0.0006931
33,27.4504,0.34631,0.35809,0.83338,0.9697,0.94606,0.94925,0.87556,0.35007,0.34312,0.80719,0.0006832,0.0006832,0.0006832
34,28.2404,0.32379,0.32007,0.82132,0.97251,0.9442,0.94939,0.87279,0.36258,0.34131,0.81289,0.0006733,0.0006733,0.0006733
35,29.1176,0.32357,0.31603,0.81283,0.96915,0.94743,0.95101,0.87847,0.34398,0.33638,0.80698,0.0006634,0.0006634,0.0006634
36,29.9135,0.30372,0.30994,0.81321,0.96871,0.94792,0.95623,0.87978,0.32977,0.33703,0.80461,0.0006535,0.0006535,0.0006535
37,30.7231,0.31231,0.31713,0.81259,0.97042,0.9461,0.95907,0.87745,0.32952,0.33512,0.80478,0.0006436,0.0006436,0.0006436
38,31.5763,0.33084,0.32884,0.82554,0.97249,0.94792,0.95047,0.87338,0.31344,0.3408,0.80491,0.0006337,0.0006337,0.0006337
39,32.3907,0.30903,0.30267,0.81367,0.96208,0.94792,0.95006,0.87159,0.32731,0.32947,0.80186,0.0006238,0.0006238,0.0006238
40,33.1946,0.29535,0.29518,0.81242,0.96652,0.94511,0.94803,0.87661,0.32157,0.33814,0.8024,0.0006139,0.0006139,0.0006139
41,34.0095,0.31402,0.30519,0.81235,0.96466,0.94559,0.94797,0.87055,0.32395,0.34306,0.80692,0.000604,0.000604,0.000604
42,34.8274,0.31966,0.30089,0.81359,0.96701,0.93506,0.94253,0.86359,0.33695,0.34713,0.80819,0.0005941,0.0005941,0.0005941
43,35.6951,0.30981,0.29926,0.81665,0.96632,0.93699,0.94327,0.85646,0.35777,0.35375,0.8142,0.0005842,0.0005842,0.0005842
44,36.5418,0.29963,0.29345,0.81367,0.97129,0.94792,0.94261,0.86107,0.34892,0.33686,0.81312,0.0005743,0.0005743,0.0005743
45,37.4008,0.30536,0.28485,0.81086,0.96916,0.94792,0.94331,0.87267,0.35179,0.35826,0.80594,0.0005644,0.0005644,0.0005644
