epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.50551,0.70601,0.46456,1.02095,0.99167,0.97619,0.97647,0.926,0.30908,0.19828,0.82844,0.0806829,0.000195122,0.000195122
2,6.42389,0.54854,0.37765,0.96343,0.98976,0.97631,0.97503,0.91873,0.32363,0.20477,0.83565,0.0608806,0.000392751,0.000392751
3,9.30905,0.47402,0.32119,0.92687,0.98969,0.97641,0.97508,0.92045,0.3293,0.21296,0.83582,0.0410758,0.00058798,0.00058798
4,12.2439,0.43807,0.30817,0.9062,0.98896,0.97583,0.97503,0.92319,0.31651,0.20937,0.82991,0.0212686,0.00078081,0.00078081
5,15.1317,0.4325,0.30887,0.8992,0.98779,0.97583,0.97393,0.92241,0.3078,0.20654,0.82589,0.00145904,0.000971239,0.000971239
6,17.9837,0.40313,0.27533,0.88687,0.98802,0.97583,0.97334,0.92126,0.30758,0.20378,0.82432,0.00097,0.00097,0.00097
7,20.8524,0.38907,0.27532,0.87704,0.98927,0.97583,0.97257,0.91979,0.30739,0.21455,0.82317,0.000964,0.000964,0.000964
8,23.7254,0.37263,0.25765,0.87048,0.98712,0.97583,0.97391,0.92171,0.303,0.20883,0.82252,0.000958,0.000958,0.000958
9,26.596,0.37931,0.2612,0.87762,0.9906,0.97583,0.97401,0.92326,0.29393,0.20063,0.81975,0.000952,0.000952,0.000952
10,29.4732,0.3513,0.24798,0.86464,0.99061,0.97583,0.97428,0.9253,0.28886,0.20235,0.8181,0.000946,0.000946,0.000946
11,32.5065,0.36514,0.24726,0.8729,0.99058,0.97578,0.97392,0.92641,0.28614,0.20119,0.81625,0.00094,0.00094,0.00094
12,35.4874,0.3497,0.24325,0.86124,0.99028,0.97515,0.97269,0.92908,0.28849,0.19905,0.81624,0.000934,0.000934,0.000934
13,38.5248,0.35613,0.24662,0.86764,0.98957,0.97496,0.97355,0.93324,0.27425,0.19365,0.81254,0.000928,0.000928,0.000928
14,41.5644,0.32904,0.2292,0.86247,0.98911,0.97561,0.9745,0.93338,0.27631,0.19603,0.81441,0.000922,0.000922,0.000922
15,44.6245,0.33942,0.23177,0.8659,0.98613,0.97583,0.97496,0.929,0.27914,0.19951,0.81625,0.000916,0.000916,0.000916
16,47.6945,0.33832,0.22911,0.85907,0.99068,0.97583,0.97424,0.9279,0.27822,0.19751,0.81657,0.00091,0.00091,0.00091
17,50.7381,0.32666,0.2228,0.86095,0.98902,0.97583,0.974,0.9308,0.27789,0.19386,0.81812,0.000904,0.000904,0.000904
18,53.8801,0.32959,0.23055,0.86243,0.98998,0.97583,0.97418,0.92995,0.27661,0.19187,0.81848,0.000898,0.000898,0.000898
19,56.895,0.32097,0.21665,0.85017,0.99087,0.97618,0.97615,0.93317,0.27628,0.19433,0.81831,0.000892,0.000892,0.000892
20,59.7856,0.30929,0.2135,0.85142,0.99025,0.97583,0.97674,0.93463,0.27444,0.1928,0.81665,0.000886,0.000886,0.000886
21,62.9304,0.32362,0.22072,0.85031,0.99085,0.97583,0.97759,0.93288,0.28002,0.19457,0.81676,0.00088,0.00088,0.00088
22,65.8527,0.31741,0.21742,0.85136,0.99073,0.97583,0.97528,0.93301,0.274,0.19463,0.81427,0.000874,0.000874,0.000874
23,68.7904,0.30539,0.21288,0.85269,0.99065,0.97583,0.97443,0.93491,0.27489,0.18999,0.81463,0.000868,0.000868,0.000868
24,71.7197,0.3166,0.21908,0.85444,0.99069,0.97583,0.97498,0.93242,0.27478,0.19181,0.81564,0.000862,0.000862,0.000862
25,74.6165,0.31289,0.21461,0.84552,0.99141,0.97583,0.97531,0.937,0.28262,0.19286,0.81872,0.000856,0.000856,0.000856
26,77.5145,0.30186,0.20719,0.84973,0.99142,0.97583,0.97667,0.93559,0.27683,0.18627,0.81528,0.00085,0.00085,0.00085
27,80.4538,0.30384,0.2108,0.8549,0.99065,0.97583,0.97641,0.93595,0.27143,0.18779,0.81294,0.000844,0.000844,0.000844
28,83.4958,0.30384,0.20998,0.845,0.98991,0.97583,0.9758,0.93623,0.27059,0.18842,0.81328,0.000838,0.000838,0.000838
29,86.5988,0.30151,0.21124,0.85269,0.99075,0.97583,0.97527,0.93549,0.27358,0.19273,0.81382,0.000832,0.000832,0.000832
30,89.6562,0.31111,0.21079,0.85385,0.99196,0.97583,0.97501,0.93787,0.27047,0.19093,0.81495,0.000826,0.000826,0.000826
31,92.7735,0.30443,0.21103,0.8463,0.99088,0.97583,0.97434,0.937,0.26818,0.18851,0.81404,0.00082,0.00082,0.00082
32,95.7088,0.30542,0.21288,0.84562,0.99159,0.97583,0.9739,0.93374,0.27046,0.18875,0.81402,0.000814,0.000814,0.000814
33,98.7704,0.31024,0.21012,0.85543,0.99121,0.97583,0.9741,0.93318,0.27007,0.18731,0.81471,0.000808,0.000808,0.000808
34,101.758,0.30779,0.21054,0.84328,0.99061,0.97583,0.97406,0.93515,0.28033,0.18915,0.81706,0.000802,0.000802,0.000802
35,104.813,0.29773,0.21135,0.841,0.99165,0.97583,0.97387,0.9353,0.276,0.19011,0.81643,0.000796,0.000796,0.000796
36,107.704,0.31051,0.20978,0.84854,0.99117,0.97583,0.97379,0.93781,0.27488,0.18767,0.81419,0.00079,0.00079,0.00079
37,110.718,0.30053,0.20781,0.84226,0.98978,0.97583,0.97378,0.93695,0.2664,0.18257,0.81227,0.000784,0.000784,0.000784
38,113.673,0.28402,0.1958,0.83857,0.99131,0.97583,0.97379,0.93387,0.26976,0.18396,0.81414,0.000778,0.000778,0.000778
39,116.742,0.28531,0.19963,0.84266,0.99066,0.97583,0.97417,0.93356,0.2721,0.1835,0.81678,0.000772,0.000772,0.000772
40,119.685,0.29358,0.20255,0.84331,0.99188,0.97583,0.97438,0.93336,0.27088,0.18988,0.8151,0.000766,0.000766,0.000766
41,122.601,0.29529,0.20025,0.85274,0.99211,0.97583,0.97447,0.9327,0.2696,0.18521,0.81493,0.00076,0.00076,0.00076
42,125.509,0.29846,0.20567,0.84305,0.99195,0.97583,0.97516,0.93248,0.26523,0.18413,0.81284,0.000754,0.000754,0.000754
43,128.45,0.28808,0.19745,0.84541,0.99085,0.97583,0.97561,0.94,0.26427,0.18339,0.81177,0.000748,0.000748,0.000748
44,131.493,0.30037,0.20276,0.8433,0.99089,0.97583,0.97517,0.93778,0.26046,0.18469,0.81039,0.000742,0.000742,0.000742
45,134.507,0.29915,0.20385,0.84268,0.99075,0.97583,0.9743,0.93728,0.25877,0.18518,0.81003,0.000736,0.000736,0.000736
46,137.512,0.27951,0.19383,0.83997,0.99227,0.97583,0.97389,0.93324,0.26831,0.19217,0.81431,0.00073,0.00073,0.00073
