epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.78633,1.01589,3.13837,1.28981,0.8028,0.81937,0.87053,0.73981,0.61046,0.94439,1.00873,0.0707317,0.00325203,0.00325203
2,8.99548,0.70511,0.9657,1.04361,0.79868,0.85306,0.89226,0.72378,0.76126,0.67105,1.0631,0.0406922,0.00654585,0.00654585
3,13.3068,0.72112,0.78107,1.04071,0.89983,0.95576,0.96203,0.78779,0.68873,0.77146,1.02001,0.0106127,0.00979967,0.00979967
4,17.5534,0.73275,0.70071,1.02681,0.94351,0.95223,0.97091,0.78571,0.65613,0.47041,0.98961,0.00982,0.00982,0.00982
5,21.7817,0.72085,0.59835,1.00418,0.97435,0.96836,0.97216,0.80965,0.6365,0.50103,0.98103,0.00976,0.00976,0.00976
6,26.0385,0.69327,0.53339,1.00505,0.98384,0.9587,0.9734,0.80018,0.65923,0.43808,0.97822,0.0097,0.0097,0.0097
7,30.281,0.67261,0.49099,0.97946,0.93479,0.9008,0.93827,0.75291,0.74256,0.59369,1.03324,0.00964,0.00964,0.00964
8,34.6197,0.64563,0.4643,0.97403,0.97662,0.96268,0.96616,0.79753,0.61958,0.40208,0.96116,0.00958,0.00958,0.00958
9,38.8985,0.61037,0.43109,0.96107,0.98173,0.97094,0.97212,0.83759,0.58802,0.43647,0.95235,0.00952,0.00952,0.00952
10,43.3986,0.60337,0.43526,0.9625,0.98553,0.96156,0.97421,0.83083,0.57492,0.35588,0.92855,0.00946,0.00946,0.00946
11,49.5401,0.58057,0.40706,0.94946,0.98834,0.97463,0.9708,0.82556,0.578,0.37531,0.95049,0.0094,0.0094,0.0094
12,57.8639,0.54954,0.39486,0.94508,0.98833,0.97381,0.97025,0.8461,0.51032,0.33982,0.91842,0.00934,0.00934,0.00934
