epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.46065,0.94561,3.07476,1.14071,0.02571,0.1294,0.07748,0.05559,1.23342,3.25952,1.30133,0.0802,0.0002,0.0002
2,6.02667,0.7803,1.83235,1.01062,0.05096,0.40643,0.24584,0.19484,0.88136,3.27928,1.09308,0.0594059,0.000405941,0.000405941
3,8.65735,0.6793,1.2209,0.95963,0.10845,0.68916,0.52961,0.43541,0.79592,3.04257,1.02519,0.0386077,0.000607724,0.000607724
4,11.187,0.68873,0.91883,0.9683,0.98327,0.48579,0.82168,0.69051,0.75242,2.04887,0.97807,0.0178053,0.000805349,0.000805349
5,13.7481,0.64344,0.75181,0.94228,0.97686,0.69942,0.92045,0.7606,0.69378,1.58191,0.96085,0.0009604,0.0009604,0.0009604
6,16.3157,0.61166,0.69265,0.92378,0.90294,0.78606,0.94585,0.78473,0.67112,0.92993,0.95923,0.0009505,0.0009505,0.0009505
7,18.8806,0.60545,0.64679,0.9171,0.94782,0.91226,0.94651,0.77501,0.69352,0.7774,0.94994,0.0009406,0.0009406,0.0009406
8,21.4258,0.6101,0.61712,0.91709,0.93259,0.92935,0.96188,0.80167,0.65526,0.65765,0.91332,0.0009307,0.0009307,0.0009307
9,23.8928,0.5562,0.57172,0.89756,0.9554,0.94041,0.97116,0.82298,0.56566,0.56992,0.89457,0.0009208,0.0009208,0.0009208
10,26.3913,0.54492,0.56019,0.90075,0.96817,0.92256,0.97227,0.8163,0.57387,0.60881,0.90855,0.0009109,0.0009109,0.0009109
11,28.8903,0.50152,0.52082,0.88826,0.97777,0.90654,0.9612,0.82869,0.55087,0.59813,0.89667,0.000901,0.000901,0.000901
12,31.4327,0.47901,0.49323,0.87421,0.93312,0.92371,0.97363,0.83729,0.53749,0.67436,0.88754,0.0008911,0.0008911,0.0008911
13,33.9229,0.49891,0.4992,0.88548,0.9566,0.95229,0.97136,0.83578,0.54677,0.52951,0.88433,0.0008812,0.0008812,0.0008812
14,36.4587,0.49806,0.46652,0.88361,0.90802,0.94904,0.96557,0.82623,0.57072,0.58301,0.89612,0.0008713,0.0008713,0.0008713
15,39.0168,0.46887,0.45031,0.87308,0.96711,0.94317,0.96788,0.83642,0.5436,0.48767,0.89396,0.0008614,0.0008614,0.0008614
16,41.484,0.45641,0.43052,0.87462,0.97522,0.95912,0.97084,0.84756,0.53326,0.47469,0.88823,0.0008515,0.0008515,0.0008515
17,43.9943,0.4461,0.41924,0.8662,0.9837,0.95648,0.96945,0.85692,0.47382,0.39785,0.86756,0.0008416,0.0008416,0.0008416
18,46.545,0.44788,0.41226,0.86743,0.94745,0.96644,0.97678,0.84525,0.5017,0.4046,0.88286,0.0008317,0.0008317,0.0008317
19,49.0584,0.43482,0.41504,0.86465,0.97468,0.97142,0.9717,0.86092,0.47746,0.38273,0.88321,0.0008218,0.0008218,0.0008218
20,51.5967,0.41338,0.39391,0.85847,0.98051,0.95115,0.96965,0.86598,0.46382,0.4079,0.86417,0.0008119,0.0008119,0.0008119
21,54.0898,0.40602,0.36942,0.85316,0.97798,0.94997,0.96255,0.84633,0.46996,0.40444,0.86808,0.000802,0.000802,0.000802
22,56.5566,0.41907,0.39462,0.86148,0.98184,0.95802,0.97152,0.86385,0.45567,0.37362,0.86317,0.0007921,0.0007921,0.0007921
23,59.0069,0.41184,0.38471,0.85333,0.98507,0.93661,0.9595,0.85845,0.44686,0.41586,0.86134,0.0007822,0.0007822,0.0007822
24,61.639,0.39838,0.36348,0.84965,0.97284,0.94018,0.97332,0.86457,0.4383,0.3795,0.8497,0.0007723,0.0007723,0.0007723
25,64.162,0.4049,0.36487,0.85714,0.97016,0.97387,0.97312,0.86876,0.42841,0.35187,0.85031,0.0007624,0.0007624,0.0007624
26,66.6891,0.39856,0.35563,0.8543,0.9765,0.97338,0.97407,0.86881,0.42813,0.34148,0.85251,0.0007525,0.0007525,0.0007525
27,69.1701,0.39685,0.34851,0.848,0.9726,0.95318,0.97336,0.87456,0.40693,0.34829,0.84331,0.0007426,0.0007426,0.0007426
28,71.651,0.3755,0.34376,0.84641,0.98433,0.9763,0.97378,0.86636,0.43231,0.33306,0.85242,0.0007327,0.0007327,0.0007327
29,74.1619,0.37126,0.33133,0.83992,0.98525,0.97075,0.97279,0.87405,0.417,0.3311,0.84865,0.0007228,0.0007228,0.0007228
30,76.7028,0.3726,0.32813,0.84387,0.977,0.97229,0.97399,0.86506,0.45949,0.32983,0.85734,0.0007129,0.0007129,0.0007129
31,79.2217,0.38152,0.33929,0.84449,0.98365,0.95764,0.97404,0.86632,0.44172,0.3127,0.85931,0.000703,0.000703,0.000703
32,81.7328,0.35941,0.3158,0.84009,0.98665,0.96623,0.9733,0.87201,0.39942,0.31346,0.8532,0.0006931,0.0006931,0.0006931
33,84.2586,0.35331,0.31122,0.83942,0.9823,0.97321,0.97436,0.87438,0.41657,0.32599,0.8519,0.0006832,0.0006832,0.0006832
34,86.8277,0.33923,0.30311,0.83582,0.97534,0.96823,0.97297,0.87367,0.41834,0.31801,0.85804,0.0006733,0.0006733,0.0006733
35,89.2997,0.34078,0.29742,0.834,0.96397,0.97455,0.97419,0.86978,0.44172,0.3106,0.86056,0.0006634,0.0006634,0.0006634
36,91.8939,0.35298,0.30982,0.83596,0.98806,0.97233,0.97438,0.88451,0.39982,0.30197,0.84385,0.0006535,0.0006535,0.0006535
37,94.3904,0.34313,0.29573,0.83877,0.98492,0.97166,0.97495,0.87639,0.41569,0.32052,0.84857,0.0006436,0.0006436,0.0006436
38,96.8402,0.3405,0.29341,0.8357,0.96287,0.96521,0.97021,0.88547,0.38554,0.31047,0.84324,0.0006337,0.0006337,0.0006337
39,99.3104,0.34298,0.29574,0.83494,0.98501,0.96956,0.97425,0.88039,0.40664,0.30255,0.84827,0.0006238,0.0006238,0.0006238
40,101.921,0.33837,0.29351,0.83271,0.98371,0.97307,0.97592,0.88458,0.40181,0.29438,0.8493,0.0006139,0.0006139,0.0006139
41,104.41,0.33612,0.28633,0.83816,0.9753,0.9757,0.975,0.89062,0.37647,0.29506,0.84408,0.000604,0.000604,0.000604
42,106.891,0.33107,0.28669,0.83544,0.98359,0.97272,0.97483,0.88548,0.37947,0.30368,0.83823,0.0005941,0.0005941,0.0005941
43,109.366,0.32843,0.27961,0.83122,0.98512,0.96763,0.97499,0.88458,0.39385,0.29763,0.85244,0.0005842,0.0005842,0.0005842
44,111.837,0.33564,0.28133,0.83271,0.98416,0.96982,0.97623,0.8865,0.39831,0.29166,0.84988,0.0005743,0.0005743,0.0005743
45,114.353,0.30572,0.26338,0.82616,0.9746,0.96729,0.97361,0.86892,0.43424,0.30256,0.86264,0.0005644,0.0005644,0.0005644
46,116.818,0.33101,0.27327,0.83157,0.98198,0.96481,0.97421,0.87353,0.40638,0.29646,0.85373,0.0005545,0.0005545,0.0005545
